idno,cntry,dweight,pspwght,pweight,anweight,left_right,gender_ineq,anti_lgbt,eurosceptic,anti_immigration,anti_egalitarian,benefits_harm_economy,benefits_harm_society,welfare_chauvinism,anti_interventionism,anti_benefits_lowinc,anti_benefits_parents,anti_edu_spending,anti_basic_income,anti_climate_tax,anti_climate_renew,anti_climate_ban,climate_skeptic,authoritarian,anti_libertarian
67,AT,1.1693654,0.813686,0.3703929,0.30138353,0.5,0.0,0.4166666666666667,0.0,0.7777777777777777,0.5833333333333334,0.5,0.5,0.0,0.3,0.5,0.75,1.0,0.0,0.75,0.25,0.75,0.25,0.8800000000000001,0.36
71,AT,0.889293,0.60831046,0.3703929,0.22531387,0.7,0.75,0.8333333333333334,0.5,0.6666666666666666,0.6666666666666666,0.75,0.25,0.3333333333333333,0.2333333333333333,0.75,0.75,0.5,0.5,0.5,0.5,0.0,0.5,0.9199999999999999,0.43999999999999995
74,AT,1.1784298,0.81053954,0.3703929,0.30021808,0.0,0.25,0.75,0.7,0.7777777777777777,0.75,0.625,0.375,0.0,0.3666666666666667,0.25,0.25,0.25,0.75,0.25,0.25,0.0,0.0,0.8400000000000001,0.16
75,AT,0.56233686,1.6537665,0.3703929,0.61254334,0.9,1.0,0.8333333333333334,0.2,0.8888888888888888,0.5,0.5,0.625,,0.26666666666666666,0.75,1.0,1.0,0.25,1.0,0.75,0.5,0.75,0.9199999999999999,0.27999999999999997
76,AT,0.6228077,0.4836771,0.3703929,0.17915055,0.2,0.0,0.3333333333333333,0.8,0.5555555555555555,0.4166666666666667,0.5,0.625,0.3333333333333333,0.0,0.75,1.0,0.75,0.5,0.25,0.5,0.5,0.25,0.8800000000000001,0.6
80,AT,1.3148706,1.0211384,0.3703929,0.3782224,0.6,0.0,0.3333333333333333,0.0,1.0,0.5,0.5,0.5,,0.23333333333333336,0.5,0.75,0.75,0.25,0.75,0.0,0.25,0.25,0.56,0.2
82,AT,1.6397687,2.8028748,0.3703929,1.0381649,0.7,0.75,0.8333333333333334,0.3,0.5555555555555555,0.5,0.5,0.5,0.0,0.43333333333333335,0.5,1.0,1.0,0.25,1.0,1.0,0.75,,0.6,0.56
86,AT,1.0553485,1.4712623,0.3703929,0.5449451,0.3,0.0,0.4166666666666667,1.0,0.0,0.3333333333333333,0.5,0.75,1.0,0.0,0.75,0.5,0.75,0.75,0.25,0.0,0.25,0.25,0.72,0.24
89,AT,0.4333468,0.863941,0.3703929,0.3199976,0.6,0.5,,0.6,0.4444444444444444,0.75,0.5,0.75,0.0,0.26666666666666666,0.5,0.75,0.5,0.0,0.5,0.5,0.25,0.5,0.5999999999999999,0.2
90,AT,0.9068252,0.687291,0.3703929,0.2545677,0.4,0.25,0.4166666666666667,0.6,0.5555555555555555,0.4166666666666667,0.5,,0.3333333333333333,0.19999999999999998,0.75,0.5,0.75,0.25,0.75,0.25,0.25,0.5,0.68,0.44000000000000006
93,AT,1.1899725,2.292676,0.3703929,0.8491909,0.4,0.0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,0.625,0.3333333333333333,0.5,0.75,0.5,,0.5,0.25,0.0,0.0,0.25,0.48,0.32
94,AT,0.6228077,1.3877696,0.3703929,0.51401997,1.0,0.0,0.4166666666666667,0.0,1.0,0.6666666666666666,0.5,1.0,,0.5,1.0,1.0,1.0,0.25,1.0,0.25,0.0,0.0,0.9199999999999999,0.36
97,AT,1.296011,0.94766235,0.3703929,0.3510074,0.5,0.0,0.3333333333333333,0.1,0.5555555555555555,0.5,0.375,0.625,0.3333333333333333,0.26666666666666666,0.75,0.5,0.75,0.5,1.0,0.0,0.25,0.5,0.56,0.24
101,AT,0.4033883,0.31327438,0.3703929,0.116034605,0.9,0.0,0.4166666666666667,0.0,1.0,0.25,0.375,,,0.0,0.75,0.75,0.75,0.25,1.0,0.0,1.0,0.75,0.64,0.2
102,AT,1.2456154,0.9673542,0.3703929,0.3583011,0.4,0.0,0.3333333333333333,0.6,0.6666666666666666,0.5833333333333334,0.5,0.5,0.0,0.0,0.75,0.75,0.75,0.0,0.5,0.25,0.25,0.25,0.72,0.36
104,AT,0.767498,0.6260783,0.3703929,0.23189496,0.6,0.25,0.5833333333333334,0.4,0.6666666666666666,0.4166666666666667,0.375,0.25,,0.3,0.5,0.75,0.75,0.25,0.75,0.25,0.25,0.5,0.6799999999999999,0.5599999999999999
110,AT,1.7572243,0.9935286,0.3703929,0.36799592,0.5,0.0,,0.3,0.5555555555555555,0.5833333333333334,0.5,0.25,0.3333333333333333,0.13333333333333333,0.75,0.25,0.25,0.5,0.75,0.25,0.25,0.75,0.76,0.2
112,AT,0.8259059,1.1450769,0.3703929,0.42412832,,0.25,0.6666666666666666,0.3,0.7777777777777777,0.5833333333333334,0.5,0.25,0.6666666666666666,0.2333333333333333,0.75,0.5,0.75,0.0,0.5,0.0,0.25,0.75,0.56,0.52
113,AT,1.2294719,1.9797726,0.3703929,0.73329365,0.2,0.0,0.3333333333333333,0.8,0.0,0.3333333333333333,0.5,0.75,1.0,0.0,0.75,0.25,1.0,0.5,0.25,0.0,0.75,0.25,0.48,0.24
116,AT,0.7781752,1.0365411,0.3703929,0.38392746,0.6,0.0,0.4166666666666667,0.0,0.6666666666666666,0.5,0.625,,,0.0,1.0,1.0,0.5,0.5,0.75,0.0,0.0,0.5,1.0,0.4800000000000001
117,AT,0.5426262,0.72677547,0.3703929,0.26919246,0.0,0.0,0.75,0.0,0.2222222222222222,0.3333333333333333,0.5,0.875,0.3333333333333333,0.10000000000000002,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.25,0.96,0.44000000000000006
120,AT,0.53247005,0.7423171,0.3703929,0.27494895,0.5,0.25,0.3333333333333333,0.5,0.6666666666666666,0.5,0.375,0.25,0.3333333333333333,0.2333333333333333,0.5,0.75,0.5,0.25,0.25,0.25,0.25,0.25,0.76,0.36
122,AT,0.65743524,0.68379647,0.3703929,0.25327334,0.7,0.0,0.4166666666666667,0.7,0.6666666666666666,0.5,0.5,0.625,,0.10000000000000002,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.8799999999999999,0.31999999999999995
124,AT,0.46953857,0.48836562,0.3703929,0.18088715,0.5,0.0,0.5,0.4,0.7777777777777777,0.3333333333333333,0.5,0.5,0.0,0.03333333333333333,0.75,0.75,0.75,0.25,0.25,0.25,0.75,0.5,0.9199999999999999,0.36
126,AT,0.92304665,0.40325126,0.3703929,0.1493614,0.5,0.0,0.4166666666666667,0.6,0.3333333333333333,0.5,0.375,0.5,0.6666666666666666,0.5333333333333333,0.75,0.5,0.75,0.5,0.25,0.25,0.25,0.25,0.52,0.36
127,AT,0.4076942,0.543055,0.3703929,0.20114371,0.4,0.25,0.5,0.5,0.7777777777777777,0.4166666666666667,0.375,0.25,0.3333333333333333,0.0,0.5,0.5,0.5,0.25,0.75,0.0,0.0,0.25,0.6399999999999999,0.52
128,AT,1.6525187,1.6856651,0.3703929,0.62435836,0.3,0.25,0.5,0.4,0.5555555555555555,0.4166666666666667,0.5,0.25,0.0,0.43333333333333335,0.5,1.0,0.25,0.0,0.25,0.5,0.75,1.0,0.39999999999999997,0.16
132,AT,1.0683297,0.78548974,0.3703929,0.2909398,0.1,0.0,0.9166666666666666,0.0,0.3333333333333333,0.75,0.25,0.25,0.3333333333333333,0.03333333333333333,0.75,0.75,0.75,0.0,0.25,0.75,0.25,0.25,0.72,0.39999999999999997
134,AT,1.285188,1.7340361,0.3703929,0.6422746,1.0,0.0,0.3333333333333333,0.5,0.4444444444444444,0.4166666666666667,0.375,0.625,0.3333333333333333,0.20000000000000004,1.0,0.5,0.75,0.5,0.25,0.0,0.0,0.25,0.8,0.16
135,AT,0.44575372,0.3395063,0.3703929,0.12575072,0.6,0.0,0.3333333333333333,0.5,0.8888888888888888,0.4166666666666667,0.5,0.5,,0.03333333333333333,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.96,0.32
140,AT,0.6367111,0.9190149,0.3703929,0.34039658,0.3,0.25,,0.4,0.0,0.3333333333333333,0.625,1.0,1.0,0.26666666666666666,0.25,0.25,1.0,0.75,1.0,0.75,0.25,0.0,0.24,0.4000000000000001
144,AT,0.5500628,0.7668429,0.3703929,0.28403315,0.4,0.0,0.3333333333333333,0.5,0.4444444444444444,0.5,0.5,0.75,0.3333333333333333,0.19999999999999998,0.75,0.5,,0.25,1.0,0.25,0.5,0.25,0.64,0.27999999999999997
147,AT,0.4131185,0.42968336,0.3703929,0.15915166,0.4,0.25,0.25,0.8,0.0,0.5833333333333334,0.5,0.125,0.6666666666666666,0.0,0.25,0.5,0.5,0.5,0.25,0.0,0.0,0.5,0.5599999999999999,0.48
152,AT,1.1001256,0.75668097,0.3703929,0.28026924,0.2,0.25,0.4166666666666667,0.6,0.5555555555555555,0.4166666666666667,0.25,0.5,0.3333333333333333,0.39999999999999997,0.5,0.25,0.5,0.75,0.25,0.75,0.5,0.75,0.8400000000000001,0.2
155,AT,0.53665406,0.3691178,0.3703929,0.1367186,0.2,0.0,0.75,0.0,0.5555555555555555,0.3333333333333333,0.125,0.625,0.3333333333333333,0.13333333333333333,0.75,1.0,1.0,,1.0,0.25,0.0,0.5,0.9199999999999999,0.27999999999999997
157,AT,1.3466289,0.7240248,0.3703929,0.26817364,0.5,0.75,0.3333333333333333,0.9,0.7777777777777777,0.3333333333333333,0.125,0.875,0.3333333333333333,0.13333333333333333,0.25,1.0,1.0,0.0,0.75,0.0,0.0,0.0,1.0,0.2
159,AT,2.4996924,1.4366684,0.3703929,0.53213173,0.5,0.75,0.5,0.5,0.3333333333333333,0.5833333333333334,0.625,0.5,0.6666666666666666,0.5,0.75,0.5,,0.5,0.5,0.25,0.5,0.0,0.4,0.52
161,AT,1.5830227,2.0920482,0.3703929,0.77487975,0.2,0.25,0.3333333333333333,0.5,0.3333333333333333,0.75,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.75,0.5,,0.25,0.25,0.25,0.0,0.6799999999999999,0.31999999999999995
162,AT,1.8781543,1.6294082,0.3703929,0.6035212,0.4,0.5,0.5,0.5,0.3333333333333333,0.5833333333333334,0.5,0.875,1.0,0.0,0.5,,0.5,0.25,0.25,0.25,0.25,0.25,0.6799999999999999,0.32
166,AT,1.8460933,0.8065025,0.3703929,0.2987228,0.4,0.0,0.4166666666666667,0.6,0.3333333333333333,0.3333333333333333,0.375,0.5,0.3333333333333333,0.43333333333333335,0.75,0.5,0.5,0.5,0.5,0.25,0.5,0.75,0.6000000000000001,0.5199999999999999
169,AT,1.661153,1.7520081,0.3703929,0.6489313,0.5,0.0,0.4166666666666667,0.7,0.3333333333333333,0.4166666666666667,0.5,0.75,1.0,0.5,0.75,0.75,0.75,0.25,0.5,0.25,0.0,0.25,0.5599999999999999,0.36
171,AT,1.0110208,0.7662616,0.3703929,0.28381783,0.4,0.75,0.5833333333333334,0.6,0.6666666666666666,0.5,0.625,0.125,0.6666666666666666,0.5333333333333333,0.5,0.5,0.5,0.75,0.5,0.0,0.0,,0.76,0.4
172,AT,0.43852878,0.34839442,0.3703929,0.12904282,0.4,0.0,0.8333333333333334,0.4,1.0,0.3333333333333333,0.5,0.5,,0.13333333333333333,0.25,1.0,0.25,0.0,0.75,0.0,0.5,0.5,0.76,0.4
173,AT,0.7781155,0.5131266,0.3703929,0.19005845,0.5,0.75,0.4166666666666667,0.5,0.8888888888888888,0.5833333333333334,0.5,0.125,0.0,0.20000000000000004,,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.7200000000000001,0.2
174,AT,0.9987675,0.7607064,0.3703929,0.28176025,0.3,0.0,0.3333333333333333,0.8,0.4444444444444444,0.4166666666666667,0.375,0.875,0.0,0.0,0.75,0.75,0.75,0.25,0.0,0.0,0.25,0.25,0.8800000000000001,0.36
177,AT,0.88929296,0.5820935,0.3703929,0.21560329,0.3,0.0,0.4166666666666667,0.6,0.1111111111111111,0.5,0.625,0.625,1.0,0.0,0.5,,0.5,0.5,0.5,0.0,0.0,0.25,0.48,0.12000000000000002
178,AT,1.1707522,0.89169776,0.3703929,0.33027852,0.7,0.0,0.4166666666666667,0.5,0.5555555555555555,0.5833333333333334,0.5,0.625,0.0,0.26666666666666666,0.75,0.5,0.5,0.25,0.75,0.25,0.0,0.5,0.52,0.12000000000000002
180,AT,0.89210397,0.38973317,0.3703929,0.14435439,0.4,0.25,0.4166666666666667,0.6,0.3333333333333333,0.3333333333333333,0.5,0.5,,0.3666666666666667,0.75,0.75,0.75,0.5,0.5,0.25,0.25,0.25,0.56,0.52
181,AT,0.45341262,0.36089322,0.3703929,0.13367228,0.0,0.0,0.6666666666666666,0.7,0.3333333333333333,0.3333333333333333,0.0,0.5,0.6666666666666666,0.39999999999999997,0.25,0.5,0.5,0.5,1.0,0.0,0.0,0.5,0.56,0.4
186,AT,0.9336193,0.79436386,0.3703929,0.29422674,0.7,0.75,0.6666666666666666,0.2,0.6666666666666666,0.5,0.25,0.625,0.3333333333333333,0.5,0.25,0.5,0.5,0.25,0.0,0.0,0.0,0.5,0.76,0.48
189,AT,1.271096,0.8414992,0.3703929,0.31168532,0.4,0.0,0.4166666666666667,0.2,0.5555555555555555,0.4166666666666667,0.5,0.125,0.3333333333333333,0.3,0.5,0.5,0.25,0.5,0.75,0.0,0.0,0.25,0.96,0.12000000000000002
192,AT,0.89775264,0.39220098,0.3703929,0.14526846,0.5,0.0,0.3333333333333333,0.3,0.3333333333333333,,0.5,0.375,0.3333333333333333,0.26666666666666666,1.0,,0.75,0.25,1.0,0.0,0.0,0.5,0.8400000000000001,0.12000000000000002
194,AT,1.3907149,0.7477279,0.3703929,0.27695307,0.4,0.0,0.5,0.5,0.0,0.4166666666666667,0.5,0.625,1.0,0.3,0.75,0.5,0.75,0.5,0.25,0.25,0.0,0.25,0.52,0.56
195,AT,0.41317663,0.6529777,0.3703929,0.2418583,0.6,0.5,0.5,0.1,0.4444444444444444,0.5833333333333334,0.5,0.5,0.3333333333333333,0.2333333333333333,0.5,,0.5,0.5,0.25,0.0,0.0,0.5,0.6400000000000001,0.32
199,AT,2.3255782,1.2997143,0.3703929,0.48140493,0.5,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.5,0.625,0.3333333333333333,0.16666666666666666,0.5,1.0,1.0,0.75,0.75,0.0,0.0,0.25,0.68,0.12000000000000002
200,AT,0.58166295,0.38357612,0.3703929,0.14207387,0.5,0.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.375,0.5,0.6666666666666666,0.39999999999999997,0.75,0.5,0.75,0.25,0.5,0.25,0.0,0.25,0.64,0.4
201,AT,0.446821,0.3453024,0.3703929,0.12789756,0.6,0.25,0.5833333333333334,0.2,0.6666666666666666,0.5,0.5,0.125,0.0,0.2333333333333333,,0.25,0.25,0.25,0.5,0.0,0.0,0.0,0.8400000000000001,0.52
204,AT,1.0234799,0.6451886,0.3703929,0.23897327,0.3,0.0,0.6666666666666666,0.4,0.5555555555555555,0.4166666666666667,0.5,0.625,,0.09999999999999999,0.75,0.5,1.0,0.5,0.5,0.5,0.0,,0.72,0.52
207,AT,1.760423,1.5432537,0.3703929,0.57161015,0.5,0.0,0.5,0.6,0.5555555555555555,0.5833333333333334,0.375,0.5,0.3333333333333333,0.7000000000000001,0.5,0.75,0.5,0.25,0.5,0.25,0.5,0.25,0.48,0.16
209,AT,1.7364239,0.97044915,0.3703929,0.35944745,1.0,0.5,0.5833333333333334,0.8,0.6666666666666666,0.5,0.625,0.5,,0.5333333333333333,0.25,0.25,0.25,0.75,0.25,0.75,0.75,0.25,0.43999999999999995,0.4800000000000001
210,AT,1.5262874,4.0,0.3703929,1.4815716,0.5,0.0,0.3333333333333333,0.5,0.4444444444444444,0.75,0.25,0.375,0.3333333333333333,0.3,0.75,0.75,,0.5,0.0,0.0,0.0,0.25,0.8,0.27999999999999997
213,AT,1.1671731,0.76968956,0.3703929,0.28508753,0.8,0.25,0.5833333333333334,0.1,0.6666666666666666,0.5,0.5,0.375,0.3333333333333333,0.3666666666666667,0.75,0.75,0.5,0.0,0.75,0.0,0.75,0.5,0.36,0.43999999999999995
219,AT,0.49518752,0.42054015,0.3703929,0.15576509,0.3,0.25,0.3333333333333333,0.3,1.0,0.3333333333333333,0.5,0.25,,0.0,0.5,0.5,0.75,0.0,0.0,0.0,0.0,1.0,0.8799999999999999,0.04
222,AT,0.9868556,1.6462713,0.3703929,0.6097672,0.5,0.5,,0.0,0.6666666666666666,0.3333333333333333,0.375,0.25,0.3333333333333333,0.09999999999999999,0.75,0.5,0.5,0.5,0.75,0.0,0.0,0.5,0.96,0.6399999999999999
223,AT,1.1805792,1.2961466,0.3703929,0.4800835,0.7,0.0,0.5,0.4,0.5555555555555555,0.4166666666666667,0.375,0.25,0.3333333333333333,0.19999999999999998,0.5,0.75,0.5,0.25,0.25,0.25,0.0,0.25,0.72,0.5599999999999999
224,AT,0.28116843,0.48060447,0.3703929,0.17801248,,0.75,0.5833333333333334,0.4,0.8888888888888888,0.5,0.5,0.5,0.0,0.3,0.75,1.0,1.0,0.25,0.5,0.5,0.5,0.5,0.8400000000000001,0.4800000000000001
225,AT,0.60296565,0.41472787,0.3703929,0.15361226,0.7,0.25,0.3333333333333333,0.2,0.0,0.5,0.5,0.5,0.3333333333333333,0.19999999999999998,0.75,0.75,1.0,0.5,0.5,0.0,,0.75,0.72,0.24
