ess_row_id,idno,cntry,country_name,ess_unique_id,agea,gndr,eisced,education_3cat,hinctnta,rlgblg,urbanization,blgetmg,vote_simple,left_right_identification,gender_inequality,anti_lgbt,euroscepticism,anti_immigration,anti_egalitarianism,benefits_harm_economy,benefits_harm_society,welfare_chauvinism,anti_economic_interventionism,anti_social_benefits_low_income,anti_social_benefits_parents,educational_spending,anti_basic_income,anti_climate_change_taxes,anti_climate_change_renewables,anti_climate_ban_appliances,climate_skepticism,authoritarianism,anti_libertarianism,n_belief_missing,n_belief_available
11,16,AT,Austria,AT_16,57.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.5,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,,0.25,0.5,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.25,1.0,0.25,0.68,0.44000000000000006,1,19
12,17,AT,Austria,AT_17,61.0,1.0,3.0,2.0,3.0,2.0,5.0,2.0,1.0,0.8,0.75,0.25,0.8,1.0,0.8333333333333334,1.0,0.375,0.75,0.26666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,0.25,0.25,0.0,0.64,0.32,0,20
14,19,AT,Austria,AT_19,31.0,2.0,3.0,2.0,,1.0,2.0,2.0,1.0,0.5,0.25,0.16666666666666666,0.7,0.4444444444444444,0.3333333333333333,0.25,0.375,0.75,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,,0.5,0.5,0.75,0.0,0.6400000000000001,0.36,1,19
15,21,AT,Austria,AT_21,58.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,,0.75,0.9166666666666666,0.9,0.6666666666666666,0.25,0.5,0.25,0.75,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.0,,0.5,0.25,0.0,0.0,0.56,0.76,2,18
16,22,AT,Austria,AT_22,28.0,1.0,3.0,2.0,5.0,2.0,3.0,2.0,1.0,0.6,0.0,0.0,0.5,0.8888888888888888,0.6666666666666666,0.375,0.25,1.0,0.0,1.0,1.0,0.0,1.0,0.75,0.25,0.75,0.25,0.9199999999999999,0.36000000000000004,0,20
17,23,AT,Austria,AT_23,58.0,1.0,5.0,2.0,7.0,2.0,5.0,2.0,1.0,0.3,0.0,0.08333333333333333,0.0,0.3333333333333333,0.0,0.375,0.625,0.75,0.3666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.75,0.25,0.5,0.5,0.6399999999999999,0.08,0,20
18,24,AT,Austria,AT_24,51.0,1.0,3.0,2.0,6.0,1.0,5.0,2.0,1.0,0.7,0.0,0.5,0.6,0.5555555555555555,0.6666666666666666,0.5,0.25,0.25,0.19999999999999998,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.25,0.25,0.25,0.25,0.8400000000000001,0.5599999999999999,0,20
19,28,AT,Austria,AT_28,65.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,1.0,0.4,0.0,0.08333333333333333,0.6,0.2222222222222222,0.4166666666666667,0.625,0.25,0.5,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.0,0.5,0.0,0.5,0.5,0.72,0.36,0,20
20,29,AT,Austria,AT_29,61.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,0.9,0.25,0.0,0.7,0.5555555555555555,0.25,0.75,0.25,0.75,0.4000000000000001,0.6666666666666666,,0.3333333333333333,0.6666666666666666,1.0,0.25,0.25,0.5,0.72,0.4,1,19
21,30,AT,Austria,AT_30,,2.0,3.0,2.0,8.0,1.0,3.0,2.0,1.0,0.6,0.0,0.25,1.0,0.8888888888888888,0.3333333333333333,0.25,0.375,1.0,0.26666666666666666,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.75,0.96,0.6,0,20
22,32,AT,Austria,AT_32,47.0,1.0,7.0,3.0,6.0,1.0,2.0,2.0,1.0,0.7,0.5,0.5833333333333334,0.7,0.3333333333333333,0.4166666666666667,0.75,0.25,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,0.25,0.25,0.25,0.64,0.48,0,20
23,34,AT,Austria,AT_34,40.0,2.0,3.0,2.0,5.0,2.0,3.0,2.0,2.0,0.9,0.25,0.75,0.2,0.6666666666666666,0.4166666666666667,0.875,0.5,,0.43333333333333335,0.0,0.0,0.6666666666666666,0.0,0.5,0.75,0.0,0.5,0.8400000000000001,0.24000000000000005,1,19
24,39,AT,Austria,AT_39,45.0,1.0,3.0,2.0,6.0,1.0,4.0,2.0,1.0,1.0,1.0,0.5,0.3,0.2222222222222222,0.3333333333333333,0.625,0.375,0.5,0.4666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,0.5,0.75,0.75,0.8800000000000001,0.16,0,20
26,43,AT,Austria,AT_43,46.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,1.0,0.5,0.0,0.0,0.5,0.0,0.4166666666666667,0.0,0.0,0.5,0.13333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.25,0.0,0.0,0.0,0.76,0.12,0,20
27,45,AT,Austria,AT_45,24.0,2.0,5.0,2.0,4.0,1.0,4.0,2.0,1.0,0.2,0.0,0.25,0.5,0.4444444444444444,0.6666666666666666,0.75,0.375,0.5,0.3,0.3333333333333333,1.0,0.6666666666666666,1.0,0.25,0.0,0.5,0.5,0.8800000000000001,0.5199999999999999,0,20
28,48,AT,Austria,AT_48,80.0,1.0,3.0,2.0,4.0,1.0,3.0,2.0,1.0,0.5,0.25,0.25,0.2,0.3333333333333333,,0.25,0.125,0.5,0.10000000000000002,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.25,0.25,0.25,0.5,0.8799999999999999,0.4,1,19
29,49,AT,Austria,AT_49,46.0,2.0,6.0,3.0,8.0,1.0,1.0,2.0,1.0,0.5,0.0,0.3333333333333333,0.0,0.2222222222222222,0.5,0.375,0.25,,0.06666666666666667,0.6666666666666666,0.6666666666666666,1.0,1.0,0.25,0.0,0.25,0.25,0.96,0.24,1,19
30,50,AT,Austria,AT_50,55.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,0.3,0.0,0.0,1.0,0.6666666666666666,0.25,0.125,0.125,0.5,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.25,0.25,0.6,0.16,0,20
31,52,AT,Austria,AT_52,61.0,1.0,3.0,2.0,,1.0,2.0,2.0,1.0,0.5,0.25,0.4166666666666667,0.5,0.4444444444444444,0.5,0.75,0.5,0.5,0.3666666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.25,0.25,0.5,0.52,0.4,0,20
32,53,AT,Austria,AT_53,39.0,2.0,3.0,2.0,,1.0,3.0,2.0,1.0,0.5,0.0,0.0,0.3,0.8888888888888888,0.0,0.5,0.25,1.0,0.13333333333333333,1.0,1.0,0.3333333333333333,0.6666666666666666,0.25,0.25,0.0,0.0,0.72,0.28,0,20
33,54,AT,Austria,AT_54,42.0,1.0,4.0,2.0,5.0,1.0,2.0,2.0,1.0,0.4,0.0,0.08333333333333333,0.4,0.3333333333333333,0.25,0.125,0.375,0.0,0.20000000000000004,0.3333333333333333,0.3333333333333333,,0.3333333333333333,1.0,0.0,0.25,0.25,0.64,0.16,1,19
34,56,AT,Austria,AT_56,65.0,2.0,3.0,2.0,6.0,1.0,5.0,2.0,1.0,0.5,0.0,0.0,0.5,0.0,0.25,0.5,0.25,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6666666666666666,0.25,0.0,0.0,0.25,0.56,0.4,0,20
35,57,AT,Austria,AT_57,77.0,2.0,3.0,2.0,3.0,1.0,5.0,2.0,1.0,0.5,0.25,0.5833333333333334,0.6,0.5555555555555555,0.3333333333333333,,,0.25,0.4666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.5,0.5,0.25,0.56,0.5599999999999999,2,18
36,58,AT,Austria,AT_58,18.0,1.0,3.0,2.0,9.0,1.0,1.0,2.0,3.0,,0.5,0.25,0.8,0.6666666666666666,0.3333333333333333,0.75,0.25,0.75,0.2333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.25,0.0,0.0,0.25,0.6399999999999999,0.27999999999999997,1,19
37,60,AT,Austria,AT_60,56.0,1.0,3.0,2.0,9.0,2.0,4.0,2.0,1.0,0.4,0.0,0.3333333333333333,1.0,0.3333333333333333,0.08333333333333333,0.75,0.0,0.5,0.5333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.25,0.8400000000000001,0.5599999999999999,0,20
38,61,AT,Austria,AT_61,23.0,1.0,2.0,1.0,,1.0,3.0,1.0,3.0,,0.25,0.6666666666666666,0.4,0.3333333333333333,0.25,0.25,0.75,0.0,0.3666666666666667,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.52,0.43999999999999995,1,19
40,63,AT,Austria,AT_63,55.0,1.0,7.0,3.0,7.0,1.0,2.0,2.0,1.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.25,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.75,0.0,0.0,0.5,0.76,0.2,0,20
41,64,AT,Austria,AT_64,75.0,2.0,2.0,1.0,7.0,1.0,2.0,2.0,1.0,0.0,0.0,0.16666666666666666,0.2,0.4444444444444444,0.3333333333333333,0.25,0.125,0.25,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.25,0.96,0.76,0,20
43,66,AT,Austria,AT_66,76.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,0.4,0.25,0.3333333333333333,0.5,0.5555555555555555,0.4166666666666667,0.75,0.625,0.75,0.10000000000000002,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.75,0.5,0.25,0.25,0.76,0.64,0,20
44,67,AT,Austria,AT_67,59.0,2.0,3.0,2.0,8.0,1.0,2.0,2.0,1.0,0.5,0.0,0.08333333333333333,1.0,0.7777777777777777,0.5833333333333334,0.5,0.75,0.75,0.3,0.3333333333333333,0.6666666666666666,0.0,1.0,0.75,0.25,0.75,0.25,0.8800000000000001,0.36,0,20
46,71,AT,Austria,AT_71,70.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,0.7,0.75,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.75,0.25,0.5,0.2333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.5,0.0,0.5,0.9199999999999999,0.43999999999999995,0,20
48,74,AT,Austria,AT_74,64.0,2.0,3.0,2.0,,2.0,5.0,2.0,1.0,0.0,0.25,0.4166666666666667,0.3,0.7777777777777777,0.5833333333333334,0.625,0.625,0.75,0.3666666666666667,0.0,0.0,1.0,0.0,0.25,0.25,0.0,0.0,0.8400000000000001,0.16,0,20
49,75,AT,Austria,AT_75,31.0,1.0,5.0,2.0,,2.0,3.0,2.0,1.0,0.9,1.0,0.8333333333333334,0.8,0.8888888888888888,0.3333333333333333,0.375,0.75,1.0,0.26666666666666666,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0,0.75,0.5,0.75,0.9199999999999999,0.27999999999999997,0,20
50,76,AT,Austria,AT_76,26.0,2.0,3.0,2.0,3.0,2.0,5.0,2.0,1.0,0.2,0.0,0.0,0.2,0.5555555555555555,0.25,0.375,0.5,0.5,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.25,0.5,0.5,0.25,0.8800000000000001,0.6,0,20
51,79,AT,Austria,AT_79,65.0,1.0,3.0,2.0,,1.0,2.0,2.0,1.0,0.5,0.25,0.5,1.0,1.0,0.16666666666666666,0.125,0.5,1.0,0.16666666666666666,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.75,0.0,0.0,,0.48,0.68,2,18
52,80,AT,Austria,AT_80,23.0,2.0,3.0,2.0,6.0,1.0,2.0,2.0,1.0,0.6,0.0,0.16666666666666666,1.0,1.0,0.5,0.5,0.25,1.0,0.23333333333333336,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.75,0.0,0.25,0.25,0.56,0.2,0,20
54,82,AT,Austria,AT_82,58.0,1.0,7.0,3.0,9.0,1.0,2.0,2.0,1.0,0.7,0.75,0.6666666666666666,0.7,0.5555555555555555,0.5,0.5,0.5,0.75,0.43333333333333335,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,1.0,0.75,,0.6,0.56,1,19
57,86,AT,Austria,AT_86,61.0,2.0,7.0,3.0,,2.0,5.0,2.0,1.0,0.3,0.0,0.08333333333333333,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.25,0.0,0.25,0.25,0.72,0.24,0,20
58,89,AT,Austria,AT_89,61.0,1.0,7.0,3.0,6.0,2.0,2.0,2.0,1.0,0.6,0.5,,0.4,0.4444444444444444,0.5833333333333334,0.25,0.25,0.75,0.26666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0.25,0.5,0.5999999999999999,0.2,1,19
59,90,AT,Austria,AT_90,74.0,1.0,3.0,2.0,6.0,1.0,2.0,2.0,1.0,0.4,0.25,0.4166666666666667,0.4,0.5555555555555555,0.25,,0.25,0.5,0.19999999999999998,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.75,0.25,0.25,0.5,0.68,0.44000000000000006,1,19
60,93,AT,Austria,AT_93,28.0,2.0,6.0,3.0,5.0,2.0,5.0,2.0,1.0,0.4,0.0,0.0,0.5,0.3333333333333333,0.5,0.375,0.25,0.5,0.5,0.6666666666666666,0.3333333333333333,,0.3333333333333333,0.25,0.0,0.0,0.25,0.48,0.32,1,19
61,94,AT,Austria,AT_94,49.0,1.0,2.0,1.0,,1.0,5.0,2.0,1.0,1.0,0.0,0.08333333333333333,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.6666666666666666,1.0,0.25,0.0,0.0,0.9199999999999999,0.36,0,20
62,97,AT,Austria,AT_97,42.0,1.0,5.0,2.0,8.0,1.0,5.0,2.0,1.0,0.5,0.0,0.0,0.9,0.5555555555555555,0.3333333333333333,0.375,0.375,0.5,0.26666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.25,0.5,0.56,0.24,0,20
63,101,AT,Austria,AT_101,21.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,0.9,0.0,0.08333333333333333,1.0,1.0,0.08333333333333333,,0.125,1.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,0.75,0.64,0.2,1,19
64,102,AT,Austria,AT_102,27.0,2.0,3.0,2.0,5.0,1.0,5.0,2.0,1.0,0.4,0.0,0.0,0.4,0.6666666666666666,0.4166666666666667,0.5,0.5,0.75,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.5,0.25,0.25,0.25,0.72,0.36,0,20
65,104,AT,Austria,AT_104,66.0,1.0,3.0,2.0,,1.0,2.0,2.0,1.0,0.6,0.25,0.4166666666666667,0.6,0.6666666666666666,0.4166666666666667,0.75,0.375,1.0,0.3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.75,0.25,0.25,0.5,0.6799999999999999,0.5599999999999999,0,20
67,110,AT,Austria,AT_110,49.0,2.0,5.0,2.0,6.0,1.0,3.0,2.0,1.0,0.5,0.0,,0.7,0.5555555555555555,0.5833333333333334,0.75,0.25,0.5,0.13333333333333333,0.6666666666666666,0.0,1.0,0.3333333333333333,0.75,0.25,0.25,0.75,0.76,0.2,1,19
69,112,AT,Austria,AT_112,55.0,2.0,6.0,3.0,7.0,1.0,1.0,2.0,1.0,,0.25,0.6666666666666666,0.7,0.7777777777777777,0.4166666666666667,0.75,0.5,0.25,0.2333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.5,0.0,0.25,0.75,0.56,0.52,1,19
70,113,AT,Austria,AT_113,55.0,2.0,5.0,2.0,8.0,2.0,3.0,2.0,1.0,0.2,0.0,0.0,0.2,0.0,0.16666666666666666,0.25,0.25,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.25,0.0,0.75,0.25,0.48,0.24,0,20
71,116,AT,Austria,AT_116,68.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,0.6,0.0,0.75,1.0,0.6666666666666666,0.3333333333333333,,0.625,1.0,0.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.75,0.0,0.0,0.5,1.0,0.4800000000000001,1,19
72,117,AT,Austria,AT_117,62.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,1.0,0.0,0.0,0.4166666666666667,1.0,0.2222222222222222,0.16666666666666666,0.125,0.0,0.5,0.10000000000000002,1.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.25,0.96,0.44000000000000006,0,20
73,120,AT,Austria,AT_120,73.0,2.0,5.0,2.0,4.0,1.0,5.0,2.0,1.0,0.5,0.25,0.16666666666666666,0.5,0.6666666666666666,0.5,0.75,0.125,0.5,0.2333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,0.25,0.25,0.25,0.76,0.36,0,20
75,122,AT,Austria,AT_122,27.0,1.0,3.0,2.0,5.0,2.0,2.0,2.0,1.0,0.7,0.0,0.25,0.3,0.6666666666666666,0.6666666666666666,0.375,0.25,1.0,0.10000000000000002,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,0.25,0.8799999999999999,0.31999999999999995,0,20
77,124,AT,Austria,AT_124,23.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.5,0.0,0.16666666666666666,0.6,0.7777777777777777,0.3333333333333333,0.5,0.5,0.75,0.03333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.25,0.25,0.75,0.5,0.9199999999999999,0.36,0,20
78,126,AT,Austria,AT_126,52.0,2.0,3.0,2.0,,1.0,2.0,2.0,1.0,0.5,0.0,0.25,0.4,0.3333333333333333,0.3333333333333333,0.5,0.375,0.25,0.5333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.25,0.25,0.25,0.52,0.36,0,20
79,127,AT,Austria,AT_127,58.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.4,0.25,0.5,0.5,0.7777777777777777,0.4166666666666667,0.75,0.375,0.5,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.75,0.0,0.0,0.25,0.6399999999999999,0.52,0,20
80,128,AT,Austria,AT_128,23.0,1.0,5.0,2.0,7.0,1.0,2.0,2.0,1.0,0.3,0.25,0.5,0.6,0.5555555555555555,0.5833333333333334,0.75,0.5,0.75,0.43333333333333335,0.3333333333333333,1.0,1.0,1.0,0.25,0.5,0.75,1.0,0.39999999999999997,0.16,0,20
81,132,AT,Austria,AT_132,35.0,1.0,3.0,2.0,8.0,1.0,5.0,1.0,1.0,0.1,0.0,0.75,1.0,0.3333333333333333,0.4166666666666667,0.75,0.5,0.5,0.03333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.25,0.75,0.25,0.25,0.72,0.39999999999999997,0,20
83,134,AT,Austria,AT_134,31.0,2.0,2.0,1.0,9.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.5,0.4444444444444444,0.5833333333333334,0.375,0.375,0.5,0.20000000000000004,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.0,0.0,0.25,0.8,0.16,0,20
84,135,AT,Austria,AT_135,24.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,0.6,0.0,0.0,0.5,0.8888888888888888,0.4166666666666667,0.5,0.5,1.0,0.03333333333333333,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.96,0.32,0,20
85,140,AT,Austria,AT_140,39.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,0.3,0.25,,0.6,0.0,0.0,0.0,0.125,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,1.0,0.75,0.25,0.0,0.24,0.4000000000000001,1,19
86,144,AT,Austria,AT_144,77.0,2.0,7.0,3.0,4.0,1.0,5.0,2.0,3.0,0.4,0.0,0.0,0.5,0.4444444444444444,0.5,0.25,0.25,0.5,0.19999999999999998,0.6666666666666666,0.3333333333333333,,0.6666666666666666,1.0,0.25,0.5,0.25,0.64,0.27999999999999997,1,19
87,147,AT,Austria,AT_147,34.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,0.4,0.25,0.08333333333333333,0.2,0.0,0.25,0.875,0.0,0.25,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.25,0.0,0.0,0.5,0.5599999999999999,0.48,0,20
88,152,AT,Austria,AT_152,63.0,2.0,3.0,2.0,5.0,1.0,5.0,2.0,2.0,0.2,0.25,0.4166666666666667,0.4,0.5555555555555555,0.4166666666666667,0.5,0.5,0.5,0.39999999999999997,0.3333333333333333,0.0,0.6666666666666666,0.0,0.25,0.75,0.5,0.75,0.8400000000000001,0.2,0,20
89,155,AT,Austria,AT_155,81.0,2.0,5.0,2.0,3.0,2.0,5.0,2.0,1.0,0.2,0.0,0.4166666666666667,1.0,0.5555555555555555,0.0,0.375,0.625,0.5,0.13333333333333333,0.6666666666666666,1.0,0.0,,1.0,0.25,0.0,0.5,0.9199999999999999,0.27999999999999997,1,19
90,157,AT,Austria,AT_157,67.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,,0.5,0.75,0.0,0.1,0.7777777777777777,0.6666666666666666,0.125,0.625,0.5,0.13333333333333333,0.0,1.0,0.0,1.0,0.75,0.0,0.0,0.0,1.0,0.2,0,20
91,159,AT,Austria,AT_159,49.0,1.0,3.0,2.0,,1.0,1.0,2.0,1.0,0.5,0.75,0.5,0.5,0.3333333333333333,0.4166666666666667,0.5,0.375,0.25,0.5,0.6666666666666666,0.3333333333333333,,0.3333333333333333,0.5,0.25,0.5,0.0,0.4,0.52,1,19
93,161,AT,Austria,AT_161,51.0,2.0,7.0,3.0,,1.0,5.0,2.0,1.0,0.2,0.25,0.16666666666666666,0.5,0.3333333333333333,0.5833333333333334,0.5,0.0,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,,0.25,0.25,0.25,0.0,0.6799999999999999,0.31999999999999995,1,19
94,162,AT,Austria,AT_162,49.0,1.0,3.0,2.0,9.0,2.0,2.0,2.0,1.0,0.4,0.5,0.3333333333333333,0.5,0.3333333333333333,0.4166666666666667,0.125,0.25,0.0,0.0,0.3333333333333333,,0.6666666666666666,0.6666666666666666,0.25,0.25,0.25,0.25,0.6799999999999999,0.32,1,19
95,166,AT,Austria,AT_166,46.0,2.0,3.0,2.0,,1.0,2.0,2.0,1.0,0.4,0.0,0.25,0.4,0.3333333333333333,0.3333333333333333,0.5,0.375,0.5,0.43333333333333335,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.25,0.5,0.75,0.6000000000000001,0.5199999999999999,0,20
97,169,AT,Austria,AT_169,19.0,2.0,2.0,1.0,,1.0,3.0,1.0,3.0,0.5,0.0,0.4166666666666667,0.3,0.3333333333333333,0.25,0.25,0.5,0.0,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.25,0.0,0.25,0.5599999999999999,0.36,0,20
